	mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
45	2023/01/16 13:34:48.716	1.11773e-10	2023/01/16 13:34:51.967	2.85e-14	2023/01/16 13:34:52.217	4.26e-14	2023/01/16 13:34:52.467	3.377e-13	2023/01/16 13:34:52.717	1.648e-13	2023/01/16 13:34:52.967	7.682e-13	2023/01/16 13:34:53.217	1.7381e-12	2023/01/16 13:34:53.468	1.6191e-12	2023/01/16 13:34:53.718	1.822e-13	2023/01/16 13:34:53.968	2.38e-14	2023/01/16 13:34:54.719	2.37037e-11
46	2023/01/16 13:34:55.111	1.11488e-10	2023/01/16 13:34:58.362	3.34e-14	2023/01/16 13:34:58.612	3.52e-14	2023/01/16 13:34:58.862	3.388e-13	2023/01/16 13:34:59.112	1.884e-13	2023/01/16 13:34:59.362	7.142e-13	2023/01/16 13:34:59.612	1.7452e-12	2023/01/16 13:34:59.863	1.6212e-12	2023/01/16 13:35:00.113	1.847e-13	2023/01/16 13:35:00.363	3.15e-14	2023/01/16 13:35:01.114	2.39725e-11
47	2023/01/16 13:35:01.506	1.11203e-10	2023/01/16 13:35:04.757	2.96e-14	2023/01/16 13:35:05.007	3.41e-14	2023/01/16 13:35:05.257	3.322e-13	2023/01/16 13:35:05.507	1.792e-13	2023/01/16 13:35:05.757	6.92e-13	2023/01/16 13:35:06.007	1.7257e-12	2023/01/16 13:35:06.258	1.6098e-12	2023/01/16 13:35:06.508	1.771e-13	2023/01/16 13:35:06.758	3.06e-14	2023/01/16 13:35:07.509	2.35425e-11
48	2023/01/16 13:35:07.901	1.11364e-10	2023/01/16 13:35:11.152	1.8e-14	2023/01/16 13:35:11.402	2.86e-14	2023/01/16 13:35:11.652	3.26e-13	2023/01/16 13:35:11.902	1.882e-13	2023/01/16 13:35:12.152	7.46e-13	2023/01/16 13:35:12.402	1.7462e-12	2023/01/16 13:35:12.653	1.6189e-12	2023/01/16 13:35:12.903	1.967e-13	2023/01/16 13:35:13.153	2.75e-14	2023/01/16 13:35:13.904	2.365e-11
49	2023/01/16 13:35:14.296	1.11509e-10	2023/01/16 13:35:17.547	2.56e-14	2023/01/16 13:35:17.797	2.19e-14	2023/01/16 13:35:18.047	3.42e-13	2023/01/16 13:35:18.297	1.941e-13	2023/01/16 13:35:18.547	6.887e-13	2023/01/16 13:35:18.797	1.6971e-12	2023/01/16 13:35:19.048	1.6179e-12	2023/01/16 13:35:19.298	1.759e-13	2023/01/16 13:35:19.548	2.83e-14	2023/01/16 13:35:20.299	2.35962e-11
50	2023/01/16 13:35:20.691	1.11047e-10	2023/01/16 13:35:23.942	3.95e-14	2023/01/16 13:35:24.192	3.44e-14	2023/01/16 13:35:24.442	3.267e-13	2023/01/16 13:35:24.692	1.949e-13	2023/01/16 13:35:24.942	7.303e-13	2023/01/16 13:35:25.193	1.6765e-12	2023/01/16 13:35:25.443	1.6277e-12	2023/01/16 13:35:25.693	1.637e-13	2023/01/16 13:35:25.943	3.61e-14	2023/01/16 13:35:26.694	2.38112e-11
51	2023/01/16 13:35:27.086	1.1166e-10	2023/01/16 13:35:30.337	3.6e-14	2023/01/16 13:35:30.587	3.24e-14	2023/01/16 13:35:30.837	3.4e-13	2023/01/16 13:35:31.087	1.796e-13	2023/01/16 13:35:31.337	6.68e-13	2023/01/16 13:35:31.587	1.7354e-12	2023/01/16 13:35:31.838	1.5964e-12	2023/01/16 13:35:32.088	1.813e-13	2023/01/16 13:35:32.338	3.19e-14	2023/01/16 13:35:33.089	2.3865e-11
52	2023/01/16 13:35:33.481	1.11595e-10	2023/01/16 13:35:36.732	3.51e-14	2023/01/16 13:35:36.982	3.14e-14	2023/01/16 13:35:37.232	3.338e-13	2023/01/16 13:35:37.482	1.728e-13	2023/01/16 13:35:37.732	7.288e-13	2023/01/16 13:35:37.982	1.7771e-12	2023/01/16 13:35:38.233	1.5659e-12	2023/01/16 13:35:38.483	1.84e-13	2023/01/16 13:35:38.733	3.22e-14	2023/01/16 13:35:39.484	2.41337e-11
53	2023/01/16 13:35:39.876	1.11816e-10	2023/01/16 13:35:43.127	4.62e-14	2023/01/16 13:35:43.377	3.15e-14	2023/01/16 13:35:43.627	3.369e-13	2023/01/16 13:35:43.877	1.638e-13	2023/01/16 13:35:44.127	7.386e-13	2023/01/16 13:35:44.377	1.7418e-12	2023/01/16 13:35:44.628	1.6442e-12	2023/01/16 13:35:44.878	1.825e-13	2023/01/16 13:35:45.128	2.85e-14	2023/01/16 13:35:45.879	2.3435e-11
54	2023/01/16 13:35:46.271	1.11267e-10	2023/01/16 13:35:49.522	2.29e-14	2023/01/16 13:35:49.772	2.59e-14	2023/01/16 13:35:50.022	3.361e-13	2023/01/16 13:35:50.272	1.798e-13	2023/01/16 13:35:50.522	7.1e-13	2023/01/16 13:35:50.772	1.7424e-12	2023/01/16 13:35:51.023	1.5918e-12	2023/01/16 13:35:51.273	1.879e-13	2023/01/16 13:35:51.523	2.71e-14	2023/01/16 13:35:52.274	2.365e-11
