ASCII SAMPLE CYCLES :			primary desorption, grid transparent.mdc
DATE :	10/10/2022	TIME :	11:07:25 pm
CONVERTED CYCLES :			342
Number of stored cycles			342
Printed start cycle			1
Printed end cycle			342
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.42403E-011	max:	4.44756E-010	
'0/1'	12.00	min:	3.2688E-012	max:	4.03904E-011	
'0/2'	14.00	min:	9.29889E-013	max:	1.87264E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	9.06687E-013	max:	4.04757E-011	
'0/4'	16.00	min:	8.11101E-012	max:	6.56082E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.8933E-011	max:	1.16332E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.27286E-011	max:	1.68787E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.46187E-013	max:	7.19024E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.7658E-013	max:	2.57386E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.51938E-012	max:	5.15873E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
62	10/10/2022	11:18:42:85 pm	677.854	4.36425E-010	4.00297E-011	1.80847E-011	HL	3.95064E-011	6.39668E-011	L	1.14417E-010	HL	1.67327E-010	L	6.87405E-013	H	2.48702E-012	L	4.91006E-011	HL	
63	10/10/2022	11:18:53:87 pm	688.873	4.33414E-010	3.98709E-011	1.83077E-011	HL	3.93998E-011	6.40186E-011	L	1.14364E-010	HL	1.67203E-010	L	6.74576E-013	H	2.47696E-012	L	4.94335E-011	HL	
64	10/10/2022	11:19:04:89 pm	699.89	4.32818E-010	3.99821E-011	1.81743E-011	HL	3.95302E-011	6.38691E-011	L	1.14812E-010	HL	1.67163E-010	L	6.57418E-013	H	2.48946E-012	L	4.93594E-011	HL	
65	10/10/2022	11:19:15:96 pm	710.968	4.3367E-010	4.00444E-011	1.81102E-011	HL	3.9294E-011	6.3822E-011	L	1.15561E-010	HL	1.68491E-010	L	6.9799E-013	H	2.50152E-012	L	4.90673E-011	HL	
66	10/10/2022	11:19:27:04 pm	722.045	4.33833E-010	4.01172E-011	1.7972E-011	HL	3.93856E-011	6.37027E-011	L	1.15359E-010	HL	1.67718E-010	L	6.70212E-013	H	2.50264E-012	L	4.95977E-011	HL	
67	10/10/2022	11:19:38:12 pm	733.124	4.3382E-010	3.99809E-011	1.82357E-011	HL	3.95879E-011	6.41672E-011	L	1.15905E-010	HL	1.68787E-010	L	6.65204E-013	H	2.57386E-012	L	4.93072E-011	HL	
68	10/10/2022	11:19:49:20 pm	744.201	4.33824E-010	4.00646E-011	1.80919E-011	HL	3.96914E-011	6.36637E-011	L	1.15256E-010	HL	1.67973E-010	L	6.6541E-013	H	2.46803E-012	L	4.94653E-011	HL	
69	10/10/2022	11:20:00:20 pm	755.209	4.3372E-010	3.96302E-011	1.81968E-011	HL	3.92081E-011	6.35131E-011	L	1.14694E-010	HL	1.67267E-010	L	7.06788E-013	H	2.41499E-012	L	4.9316E-011	HL	
70	10/10/2022	11:20:11:21 pm	766.216	4.3157E-010	3.96549E-011	1.77921E-011	HL	3.93387E-011	6.3197E-011	L	1.14935E-010	HL	1.68487E-010	L	6.57969E-013	H	2.43683E-012	L	4.89015E-011	HL	
71	10/10/2022	11:20:22:35 pm	777.354	4.31447E-010	3.9698E-011	1.79941E-011	HL	3.90641E-011	6.36127E-011	L	1.14499E-010	HL	1.67276E-010	L	6.81855E-013	H	2.43764E-012	L	4.90788E-011	HL	
72	10/10/2022	11:20:33:44 pm	788.443	4.3028E-010	3.95042E-011	1.79484E-011	HL	3.90283E-011	6.3272E-011	L	1.15078E-010	HL	1.6776E-010	L	6.65411E-013	H	2.47953E-012	L	4.9338E-011	HL	
73	10/10/2022	11:20:44:45 pm	799.459	4.31779E-010	3.98534E-011	1.80943E-011	HL	3.92095E-011	6.38721E-011	L	1.16107E-010	HL	1.67475E-010	L	6.77419E-013	H	2.52907E-012	L	4.94445E-011	HL	
74	10/10/2022	11:20:55:47 pm	810.478	4.31047E-010	3.97947E-011	1.80524E-011	HL	3.91673E-011	6.35588E-011	L	1.15321E-010	HL	1.67799E-010	L	6.99235E-013	H	2.49747E-012	L	4.90537E-011	HL	
75	10/10/2022	11:21:06:49 pm	821.496	4.28223E-010	3.94759E-011	1.81365E-011	HL	3.90027E-011	6.36934E-011	L	1.15198E-010	HL	1.67201E-010	L	6.5944E-013	H	2.45268E-012	L	4.90123E-011	HL	
76	10/10/2022	11:21:17:51 pm	832.514	4.29009E-010	3.97638E-011	1.8085E-011	HL	3.9235E-011	6.32675E-011	L	1.16095E-010	HL	1.67707E-010	L	7.04211E-013	H	2.42451E-012	L	4.89798E-011	HL	
77	10/10/2022	11:21:28:59 pm	843.591	4.29479E-010	3.9526E-011	1.78946E-011	HL	3.92511E-011	6.35434E-011	L	1.15451E-010	HL	1.67354E-010	L	6.87977E-013	H	2.48541E-012	L	4.8926E-011	HL	
78	10/10/2022	11:21:39:60 pm	854.609	4.31073E-010	3.95428E-011	1.78693E-011	HL	3.85452E-011	6.34805E-011	L	1.15334E-010	HL	1.67154E-010	L	7.10224E-013	H	2.52437E-012	L	4.87142E-011	HL	
79	10/10/2022	11:21:50:62 pm	865.627	4.29507E-010	3.97617E-011	1.8043E-011	HL	3.89957E-011	6.31721E-011	L	1.16332E-010	HL	1.67493E-010	L	6.85087E-013	H	2.45377E-012	L	4.88867E-011	HL	
80	10/10/2022	11:22:01:70 pm	876.705	4.29345E-010	3.9477E-011	1.78829E-011	HL	3.87619E-011	6.33566E-011	L	1.16084E-010	HL	1.67202E-010	L	6.56162E-013	H	2.48797E-012	L	4.9047E-011	HL	
81	10/10/2022	11:22:12:78 pm	887.782	4.29119E-010	3.95923E-011	1.79006E-011	HL	3.86483E-011	6.29572E-011	L	1.15125E-010	HL	1.66505E-010	L	6.63112E-013	H	2.46679E-012	L	4.90421E-011	HL	
82	10/10/2022	11:22:23:79 pm	898.79	4.271E-010	3.94266E-011	1.75779E-011	HL	3.9069E-011	6.28503E-011	L	1.15326E-010	HL	1.67177E-010	L	6.58764E-013	H	2.45939E-012	L	4.82562E-011	HL	
83	10/10/2022	11:22:34:80 pm	909.808	4.26328E-010	3.95692E-011	1.76943E-011	HL	3.88222E-011	6.33505E-011	L	1.15186E-010	HL	1.66764E-010	L	6.99771E-013	H	2.42701E-012	L	4.85176E-011	HL	
84	10/10/2022	11:22:45:82 pm	920.826	4.25017E-010	3.92744E-011	1.77606E-011	HL	3.87144E-011	6.2835E-011	L	1.14907E-010	HL	1.66662E-010	L	7.00652E-013	H	2.47136E-012	L	4.83449E-011	HL	
85	10/10/2022	11:22:56:84 pm	931.844	4.25969E-010	3.96281E-011	1.77485E-011	HL	3.86491E-011	6.31514E-011	L	1.15743E-010	HL	1.68227E-010	L	6.75109E-013	H	2.43209E-012	L	4.85036E-011	HL	
86	10/10/2022	11:23:07:85 pm	942.852	4.27654E-010	3.90944E-011	1.78011E-011	HL	3.88384E-011	6.26886E-011	L	1.15673E-010	HL	1.66642E-010	L	6.95937E-013	H	2.48279E-012	L	4.85663E-011	HL	
87	10/10/2022	11:23:18:92 pm	953.929	4.25939E-010	3.92276E-011	1.78791E-011	HL	3.85745E-011	6.31349E-011	L	1.1526E-010	HL	1.66463E-010	L	6.85715E-013	H	2.57072E-012	L	4.83877E-011	HL	
88	10/10/2022	11:23:30:07 pm	965.077	4.24729E-010	3.91152E-011	1.78618E-011	HL	3.82629E-011	6.27284E-011	L	1.14862E-010	HL	1.65829E-010	L	6.85607E-013	H	2.43078E-012	L	4.81115E-011	HL	
89	10/10/2022	11:23:41:08 pm	976.085	4.23419E-010	3.90624E-011	1.78253E-011	HL	3.83697E-011	6.26187E-011	L	1.15371E-010	HL	1.66187E-010	L	7.08631E-013	H	2.38094E-012	L	4.81006E-011	HL	
90	10/10/2022	11:23:52:11 pm	987.112	4.2544E-010	3.93237E-011	1.77332E-011	HL	3.8552E-011	6.29277E-011	L	1.15451E-010	HL	1.66854E-010	L	7.08582E-013	H	2.48299E-012	L	4.82431E-011	HL	
91	10/10/2022	11:24:03:14 pm	998.14	4.2287E-010	3.92288E-011	1.77013E-011	HL	3.85334E-011	6.27709E-011	L	1.15501E-010	HL	1.66831E-010	L	7.16714E-013	H	2.44913E-012	L	4.84268E-011	HL	
