	Live comments	Elapsed time	Coverage	Time	Base_p corrected BA1	Base_p corrected BA2	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
710		553.0	361951449956102.94	2022-12-14 16:34:06	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2108695652173913e-07	1.2239130434782608e-07	1.2108695652173913e-07	96.304	5.63e-08	5.57e-08	3.63e-08	3.464e-07	1.1	404.0	-5.05	4287.974		
711		560.0	373627303180544.75	2022-12-14 16:34:13	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2108695652173913e-07	1.2239130434782608e-07	1.2108695652173913e-07	96.306	5.63e-08	5.57e-08	3.63e-08	3.464e-07	1.1	405.0	-5.275	4288.198		
712		567.0	373627303180544.75	2022-12-14 16:34:20	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2108695652173913e-07	1.2239130434782608e-07	1.2108695652173913e-07	96.306	5.63e-08	5.57e-08	3.63e-08	3.464e-07	1.1	405.0	-5.163	4288.198		
713		574.0	373627303180544.75	2022-12-14 16:34:27	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.626e-08	3.468e-07	1.1	405.0	-5.163	4288.198		
714		581.0	396979009629322.2	2022-12-14 16:34:34	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.626e-08	3.468e-07	1.1	404.0	-5.163	4288.423		
715		589.0	396979009629322.2	2022-12-14 16:34:42	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.63e-08	3.472e-07	1.1	404.0	-5.163	4288.198		
716		596.0	420330716078099.6	2022-12-14 16:34:49	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.635e-08	3.472e-07	1.1	405.0	-4.938	4288.535		
717		603.0	420330716078099.6	2022-12-14 16:34:56	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.635e-08	3.472e-07	1.1	404.0	-5.163	4288.535		
718		610.0	420330716078099.6	2022-12-14 16:35:03	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.477e-07	1.1	405.0	-5.05	4288.535		
719		617.0	420330716078099.6	2022-12-14 16:35:10	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.635e-08	3.477e-07	1.1	404.0	-5.387	4288.647		
