	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
37	2022-12-13 17:38:25.383		2022-12-13 17:38:25.383		2022-12-13 17:38:25.383		2022-12-13 17:38:25.383		2022-12-13 17:38:25.383		2022-12-13 17:38:25.384		2022-12-13 17:38:25.383		2022-12-13 17:38:25.383		2022-12-13 17:38:25.384		2022-12-13 17:38:25.383		2022-12-13 17:34:31.358	
38	2022-12-13 17:38:31.708		2022-12-13 17:38:31.708		2022-12-13 17:38:31.708		2022-12-13 17:38:31.708		2022-12-13 17:38:31.708		2022-12-13 17:38:31.709		2022-12-13 17:38:31.708		2022-12-13 17:38:31.708		2022-12-13 17:38:31.709		2022-12-13 17:38:31.708		2022-12-13 17:34:31.358	
39	2022-12-13 17:38:38.033		2022-12-13 17:38:38.033		2022-12-13 17:38:38.033		2022-12-13 17:38:38.033		2022-12-13 17:38:38.033		2022-12-13 17:38:38.034		2022-12-13 17:38:38.033		2022-12-13 17:38:38.034		2022-12-13 17:38:38.034		2022-12-13 17:38:38.033		2022-12-13 17:34:31.358	
40	2022-12-13 17:38:44.358		2022-12-13 17:38:44.358		2022-12-13 17:38:44.358		2022-12-13 17:38:44.358		2022-12-13 17:38:44.358		2022-12-13 17:38:44.359		2022-12-13 17:38:44.358		2022-12-13 17:38:44.359		2022-12-13 17:38:44.359		2022-12-13 17:38:44.358		2022-12-13 17:34:31.358	
41	2022-12-13 17:38:50.683		2022-12-13 17:38:50.683		2022-12-13 17:38:50.683		2022-12-13 17:38:50.683		2022-12-13 17:38:50.683		2022-12-13 17:38:50.684		2022-12-13 17:38:50.683		2022-12-13 17:38:50.684		2022-12-13 17:38:50.684		2022-12-13 17:38:50.683		2022-12-13 17:34:31.358	
42	2022-12-13 17:38:57.008		2022-12-13 17:38:57.008		2022-12-13 17:38:57.008		2022-12-13 17:38:57.008		2022-12-13 17:38:57.008		2022-12-13 17:38:57.009		2022-12-13 17:38:57.008		2022-12-13 17:38:57.009		2022-12-13 17:38:57.009		2022-12-13 17:38:57.008		2022-12-13 17:34:31.358	
43	2022-12-13 17:39:03.333		2022-12-13 17:39:03.333		2022-12-13 17:39:03.333		2022-12-13 17:39:03.333		2022-12-13 17:39:03.333		2022-12-13 17:39:03.334		2022-12-13 17:39:03.333		2022-12-13 17:39:03.333		2022-12-13 17:39:03.334		2022-12-13 17:39:03.333		2022-12-13 17:34:31.358	
44	2022-12-13 17:39:09.658		2022-12-13 17:39:09.658		2022-12-13 17:39:09.658		2022-12-13 17:39:09.658		2022-12-13 17:39:09.658		2022-12-13 17:39:09.659		2022-12-13 17:39:09.658		2022-12-13 17:39:09.658		2022-12-13 17:39:09.659		2022-12-13 17:39:09.658		2022-12-13 17:34:31.358	
45	2022-12-13 17:39:15.983		2022-12-13 17:39:15.983		2022-12-13 17:39:15.983		2022-12-13 17:39:15.983		2022-12-13 17:39:15.983		2022-12-13 17:39:15.984		2022-12-13 17:39:15.983		2022-12-13 17:39:15.983		2022-12-13 17:39:15.984		2022-12-13 17:39:15.983		2022-12-13 17:34:31.358	
46	2022-12-13 17:39:22.308		2022-12-13 17:39:22.308		2022-12-13 17:39:22.308		2022-12-13 17:39:22.308		2022-12-13 17:39:22.308		2022-12-13 17:39:22.309		2022-12-13 17:39:22.308		2022-12-13 17:39:22.308		2022-12-13 17:39:22.309		2022-12-13 17:39:22.308		2022-12-13 17:34:31.358	
