F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/13 17:37:28.458	0.00000000002038140000	2022/12/13 17:37:28.708	0.00000000000098443100	2022/12/13 17:37:28.958	0.00000000000002202780	2022/12/13 17:37:29.208	0.00000000000017418200	2022/12/13 17:37:29.458	0.00000000000002854930	2022/12/13 17:37:29.709	0.00000000000045014000	2022/12/13 17:37:29.959	0.00000000000084454200	2022/12/13 17:37:30.209	0.00000000000092719800	2022/12/13 17:37:30.460	0.00000000000003541050	2022/12/13 17:37:30.710	0.00000000000002293940
2022/12/13 17:37:34.783	0.00000000002035510000	2022/12/13 17:37:35.033	0.00000000000101189000	2022/12/13 17:37:35.283	0.00000000000001631740	2022/12/13 17:37:35.533	0.00000000000020650200	2022/12/13 17:37:35.783	0.00000000000002182680	2022/12/13 17:37:36.034	0.00000000000044307700	2022/12/13 17:37:36.284	0.00000000000082634200	2022/12/13 17:37:36.534	0.00000000000089526000	2022/12/13 17:37:36.785	0.00000000000003566850	2022/12/13 17:37:37.035	0.00000000000001968430
2022/12/13 17:37:41.108	0.00000000002055770000	2022/12/13 17:37:41.358	0.00000000000100899000	2022/12/13 17:37:41.608	0.00000000000001415610	2022/12/13 17:37:41.858	0.00000000000015319800	2022/12/13 17:37:42.108	0.00000000000002331190	2022/12/13 17:37:42.359	0.00000000000040318900	2022/12/13 17:37:42.609	0.00000000000063708300	2022/12/13 17:37:42.860	0.00000000000077084500	2022/12/13 17:37:43.110	0.00000000000003095460	2022/12/13 17:37:43.360	0.00000000000001512360
2022/12/13 17:37:47.433	0.00000000002056200000	2022/12/13 17:37:47.683	0.00000000000099991100	2022/12/13 17:37:47.933	0.00000000000001950260	2022/12/13 17:37:48.183	0.00000000000017873400	2022/12/13 17:37:48.433	0.00000000000002128660	2022/12/13 17:37:48.684	0.00000000000047438100	2022/12/13 17:37:48.934	0.00000000000083183500	2022/12/13 17:37:49.184	0.00000000000085392100	2022/12/13 17:37:49.435	0.00000000000001789170	2022/12/13 17:37:49.685	0.00000000000002490930
2022/12/13 17:37:53.758	0.00000000002062220000	2022/12/13 17:37:54.008	0.00000000000100550000	2022/12/13 17:37:54.258	0.00000000000001958320	2022/12/13 17:37:54.508	0.00000000000018012100	2022/12/13 17:37:54.758	0.00000000000003282240	2022/12/13 17:37:55.009	0.00000000000044632900	2022/12/13 17:37:55.259	0.00000000000086882600	2022/12/13 17:37:55.509	0.00000000000090185500	2022/12/13 17:37:55.760	0.00000000000003914130	2022/12/13 17:37:56.010	0.00000000000001944560
2022/12/13 17:38:00.083	0.00000000002041210000	2022/12/13 17:38:00.333	0.00000000000100265000	2022/12/13 17:38:00.583	0.00000000000001220170	2022/12/13 17:38:00.833	0.00000000000019320900	2022/12/13 17:38:01.083	0.00000000000002256800	2022/12/13 17:38:01.334	0.00000000000043201500	2022/12/13 17:38:01.584	0.00000000000088149500	2022/12/13 17:38:01.835	0.00000000000068603800	2022/12/13 17:38:02.085	0.00000000000001619270	2022/12/13 17:38:02.335	0.00000000000001669150
2022/12/13 17:38:06.408	0.00000000002054270000	2022/12/13 17:38:06.658	0.00000000000101420000	2022/12/13 17:38:06.908	0.00000000000001749340	2022/12/13 17:38:07.158	0.00000000000019062400	2022/12/13 17:38:07.408	0.00000000000002945070	2022/12/13 17:38:07.659	0.00000000000046842000	2022/12/13 17:38:07.909	0.00000000000085097000	2022/12/13 17:38:08.160	0.00000000000087084700	2022/12/13 17:38:08.410	0.00000000000002973070	2022/12/13 17:38:08.660	0.00000000000002174610
2022/12/13 17:38:12.733	0.00000000002041690000	2022/12/13 17:38:12.983	0.00000000000101066000	2022/12/13 17:38:13.233	0.00000000000002543070	2022/12/13 17:38:13.483	0.00000000000016076000	2022/12/13 17:38:13.733	0.00000000000003599960	2022/12/13 17:38:13.984	0.00000000000045844400	2022/12/13 17:38:14.234	0.00000000000088926700	2022/12/13 17:38:14.484	0.00000000000088603100	2022/12/13 17:38:14.735	0.00000000000003830490	2022/12/13 17:38:14.985	0.00000000000002066630
2022/12/13 17:38:19.058	0.00000000002031850000	2022/12/13 17:38:19.308	0.00000000000097658400	2022/12/13 17:38:19.558	0.00000000000001650120	2022/12/13 17:38:19.808	0.00000000000020018600	2022/12/13 17:38:20.058	0.00000000000002621120	2022/12/13 17:38:20.309	0.00000000000044470000	2022/12/13 17:38:20.559	0.00000000000087374900	2022/12/13 17:38:20.809	0.00000000000093637900	2022/12/13 17:38:21.060	0.00000000000002796880	2022/12/13 17:38:21.310	0.00000000000001409320
2022/12/13 17:38:25.383	0.00000000002048730000	2022/12/13 17:38:25.633	0.00000000000101152000	2022/12/13 17:38:25.883	0.00000000000002228360	2022/12/13 17:38:26.133	0.00000000000017909500	2022/12/13 17:38:26.383	0.00000000000003338730	2022/12/13 17:38:26.634	0.00000000000044796300	2022/12/13 17:38:26.884	0.00000000000087416900	2022/12/13 17:38:27.135	0.00000000000089017500	2022/12/13 17:38:27.385	0.00000000000002017340	2022/12/13 17:38:27.635	0.00000000000001637970
2022/12/13 17:38:31.708	0.00000000002040180000	2022/12/13 17:38:31.958	0.00000000000101453000	2022/12/13 17:38:32.208	0.00000000000001304670	2022/12/13 17:38:32.458	0.00000000000018049200	2022/12/13 17:38:32.708	0.00000000000004803370	2022/12/13 17:38:32.959	0.00000000000044238900	2022/12/13 17:38:33.209	0.00000000000085705500	2022/12/13 17:38:33.460	0.00000000000087639400	2022/12/13 17:38:33.710	0.00000000000003418930	2022/12/13 17:38:33.960	0.00000000000001634860
2022/12/13 17:38:38.033	0.00000000002044220000	2022/12/13 17:38:38.283	0.00000000000097524000	2022/12/13 17:38:38.533	0.00000000000001699730	2022/12/13 17:38:38.783	0.00000000000019236000	2022/12/13 17:38:39.033	0.00000000000002255990	2022/12/13 17:38:39.284	0.00000000000044417900	2022/12/13 17:38:39.534	0.00000000000086918100	2022/12/13 17:38:39.785	0.00000000000094066300	2022/12/13 17:38:40.035	0.00000000000002686050	2022/12/13 17:38:40.285	0.00000000000002092640
2022/12/13 17:38:44.358	0.00000000002052920000	2022/12/13 17:38:44.608	0.00000000000099614900	2022/12/13 17:38:44.858	0.00000000000001651300	2022/12/13 17:38:45.108	0.00000000000018192200	2022/12/13 17:38:45.358	0.00000000000003385280	2022/12/13 17:38:45.609	0.00000000000044324900	2022/12/13 17:38:45.859	0.00000000000083975200	2022/12/13 17:38:46.110	0.00000000000092639700	2022/12/13 17:38:46.360	0.00000000000002495340	2022/12/13 17:38:46.610	0.00000000000001650600
2022/12/13 17:38:50.683	0.00000000002048840000	2022/12/13 17:38:50.933	0.00000000000101136000	2022/12/13 17:38:51.183	0.00000000000001271940	2022/12/13 17:38:51.433	0.00000000000017641800	2022/12/13 17:38:51.683	0.00000000000003760240	2022/12/13 17:38:51.934	0.00000000000043082200	2022/12/13 17:38:52.184	0.00000000000079329600	2022/12/13 17:38:52.434	0.00000000000089943600	2022/12/13 17:38:52.685	0.00000000000002321240	2022/12/13 17:38:52.935	0.00000000000001526550
2022/12/13 17:38:57.008	0.00000000002134950000	2022/12/13 17:38:57.258	0.00000000000105597000	2022/12/13 17:38:57.508	0.00000000000001185940	2022/12/13 17:38:57.758	0.00000000000019237100	2022/12/13 17:38:58.008	0.00000000000002661000	2022/12/13 17:38:58.259	0.00000000000042614600	2022/12/13 17:38:58.509	0.00000000000086105900	2022/12/13 17:38:58.759	0.00000000000083765600	2022/12/13 17:38:59.010	0.00000000000002276630	2022/12/13 17:38:59.260	0.00000000000002442450
2022/12/13 17:39:03.333	0.00000000002101780000	2022/12/13 17:39:03.583	0.00000000000101673000	2022/12/13 17:39:03.833	0.00000000000001851900	2022/12/13 17:39:04.083	0.00000000000018651700	2022/12/13 17:39:04.333	0.00000000000002430950	2022/12/13 17:39:04.584	0.00000000000041819100	2022/12/13 17:39:04.834	0.00000000000085559800	2022/12/13 17:39:05.084	0.00000000000087645300	2022/12/13 17:39:05.335	0.00000000000004295970	2022/12/13 17:39:05.585	0.00000000000001608790
