ASCII SAMPLE CYCLES :			primary desorption, grid opaque.mdc
DATE :	10/10/2022	TIME :	09:57:53 pm
CONVERTED CYCLES :			363
Number of stored cycles			363
Printed start cycle			1
Printed end cycle			363
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.41951E-011	max:	4.29319E-010	
'0/1'	12.00	min:	3.12211E-012	max:	2.99482E-011	
'0/2'	14.00	min:	8.42336E-013	max:	1.54614E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	8.04134E-013	max:	3.58094E-011	
'0/4'	16.00	min:	7.93774E-012	max:	5.77613E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.90488E-011	max:	1.15856E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.16996E-011	max:	1.39434E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.52664E-013	max:	5.90086E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.72538E-013	max:	1.82801E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.45608E-012	max:	4.24035E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
41	10/10/2022	10:05:22:77 pm	449.772	4.27755E-010	2.93682E-011	1.53688E-011	HL	3.5107E-011	5.68688E-011	L	1.14118E-010	HL	1.3351E-010	L	5.42326E-013	H	1.81526E-012	L	3.86579E-011	HL	
42	10/10/2022	10:05:33:78 pm	460.788	4.26273E-010	2.91457E-011	1.52658E-011	HL	3.50874E-011	5.68934E-011	L	1.13624E-010	HL	1.33179E-010	L	5.59545E-013	H	1.71047E-012	L	3.88791E-011	HL	
43	10/10/2022	10:05:44:79 pm	471.797	4.29319E-010	2.94213E-011	1.53539E-011	HL	3.5637E-011	5.72554E-011	L	1.1412E-010	HL	1.34227E-010	L	5.89454E-013	H	1.76282E-012	L	3.89418E-011	HL	
44	10/10/2022	10:05:55:87 pm	482.874	4.28178E-010	2.95705E-011	1.53337E-011	HL	3.52025E-011	5.72325E-011	L	1.14634E-010	HL	1.34397E-010	L	5.78428E-013	H	1.79275E-012	L	3.8541E-011	HL	
45	10/10/2022	10:06:07:02 pm	494.023	4.28829E-010	2.95797E-011	1.53278E-011	HL	3.5506E-011	5.77613E-011	L	1.14593E-010	HL	1.35201E-010	L	5.71003E-013	H	1.79811E-012	L	3.86066E-011	HL	
46	10/10/2022	10:06:18:04 pm	505.04	4.28855E-010	2.93847E-011	1.53014E-011	HL	3.56243E-011	5.73232E-011	L	1.14615E-010	HL	1.34721E-010	L	5.56486E-013	H	1.82801E-012	L	3.86819E-011	HL	
47	10/10/2022	10:06:29:05 pm	516.058	4.27397E-010	2.93988E-011	1.54597E-011	HL	3.54675E-011	5.70253E-011	L	1.1438E-010	HL	1.35458E-010	L	5.43757E-013	H	1.78905E-012	L	3.84142E-011	HL	
48	10/10/2022	10:06:40:13 pm	527.136	4.26996E-010	2.91834E-011	1.54614E-011	HL	3.56111E-011	5.74064E-011	L	1.1422E-010	HL	1.35869E-010	L	5.52306E-013	H	1.76249E-012	L	3.86211E-011	HL	
49	10/10/2022	10:06:51:15 pm	538.154	4.28169E-010	2.9578E-011	1.54418E-011	HL	3.58094E-011	5.73212E-011	L	1.14001E-010	HL	1.36098E-010	L	5.44798E-013	H	1.81227E-012	L	3.8798E-011	HL	
50	10/10/2022	10:07:02:16 pm	549.161	4.28883E-010	2.93992E-011	1.52944E-011	HL	3.52207E-011	5.7306E-011	L	1.1413E-010	HL	1.35926E-010	L	5.53259E-013	H	1.73123E-012	L	3.85479E-011	HL	
51	10/10/2022	10:07:13:23 pm	560.239	4.28312E-010	2.94911E-011	1.54454E-011	HL	3.53589E-011	5.69187E-011	L	1.14541E-010	HL	1.36757E-010	L	5.52228E-013	H	1.77714E-012	L	3.84607E-011	HL	
52	10/10/2022	10:07:24:37 pm	571.377	4.2891E-010	2.95243E-011	1.52418E-011	HL	3.56944E-011	5.70569E-011	L	1.14262E-010	HL	1.36642E-010	L	5.78713E-013	H	1.7762E-012	L	3.80531E-011	HL	
53	10/10/2022	10:07:35:52 pm	582.525	4.27397E-010	2.94213E-011	1.51572E-011	HL	3.51857E-011	5.7047E-011	L	1.1446E-010	HL	1.36644E-010	L	5.52493E-013	H	1.79184E-012	L	3.85269E-011	HL	
54	10/10/2022	10:07:46:60 pm	593.602	4.27776E-010	2.97909E-011	1.54223E-011	HL	3.55584E-011	5.7247E-011	L	1.14761E-010	HL	1.36777E-010	L	5.57863E-013	H	1.78527E-012	L	3.83272E-011	HL	
55	10/10/2022	10:07:57:61 pm	604.611	4.28629E-010	2.99429E-011	1.54568E-011	HL	3.53542E-011	5.71976E-011	L	1.14437E-010	HL	1.37319E-010	L	5.58501E-013	H	1.75309E-012	L	3.84275E-011	HL	
56	10/10/2022	10:08:08:61 pm	615.618	4.28922E-010	2.96939E-011	1.52829E-011	HL	3.5414E-011	5.72646E-011	L	1.13402E-010	HL	1.37484E-010	L	5.79589E-013	H	1.77414E-012	L	3.79492E-011	HL	
57	10/10/2022	10:08:19:69 pm	626.697	4.29023E-010	2.96146E-011	1.53397E-011	HL	3.54725E-011	5.69816E-011	L	1.14582E-010	HL	1.37734E-010	L	5.62055E-013	H	1.82381E-012	L	3.79344E-011	HL	
58	10/10/2022	10:08:30:77 pm	637.775	4.27343E-010	2.97901E-011	1.5437E-011	HL	3.52533E-011	5.71976E-011	L	1.14535E-010	HL	1.37666E-010	L	5.679E-013	H	1.79053E-012	L	3.79838E-011	HL	
59	10/10/2022	10:08:41:86 pm	648.861	4.28579E-010	2.96012E-011	1.51356E-011	HL	3.53721E-011	5.67559E-011	L	1.15044E-010	HL	1.37599E-010	L	5.55107E-013	H	1.76955E-012	L	3.79405E-011	HL	
60	10/10/2022	10:08:53:00 pm	660	4.27683E-010	2.96831E-011	1.52526E-011	HL	3.52684E-011	5.70892E-011	L	1.15229E-010	HL	1.3763E-010	L	5.84158E-013	H	1.78895E-012	L	3.77519E-011	HL	
61	10/10/2022	10:09:04:07 pm	671.078	4.28538E-010	2.96216E-011	1.51955E-011	HL	3.53178E-011	5.71452E-011	L	1.15592E-010	HL	1.38909E-010	L	5.47857E-013	H	1.75366E-012	L	3.79839E-011	HL	
62	10/10/2022	10:09:15:15 pm	682.155	4.2801E-010	2.9513E-011	1.51552E-011	HL	3.5255E-011	5.7143E-011	L	1.14712E-010	HL	1.3799E-010	L	5.57703E-013	H	1.82596E-012	L	3.74988E-011	HL	
63	10/10/2022	10:09:26:16 pm	693.163	4.2756E-010	2.95117E-011	1.52627E-011	HL	3.5407E-011	5.70055E-011	L	1.14874E-010	HL	1.38497E-010	L	5.62831E-013	H	1.7601E-012	L	3.78221E-011	HL	
